species	full_name	synonyms	category	taxid	disease_en	disease_cn	evidence_level	evidence_refs_raw	sequence_status	sequence_count	accessions	missing_reason	notes
Pantoea stewartii subsp. stewartii	Pantoea stewartii subsp. stewartii		bacteria	66269	Stewart's wilt and leaf blight	斯图尔特细菌性枯萎病/叶枯病	confirmed	Roper M C. Pantoea stewartii subsp. stewartii: lessons learned from a xylem‐dwelling pathogen of sweet corn[J]. Molecular plant pathology, 2011, 12(7): 628-637.	present	17	AJ311838.1; HF584960.1; HF985352.1; HF985353.1; HG792421.1; HG792422.1; HG792423.1; HG792424.1; HG792425.1; LC928073.1; LC928152.1; LC928160.1; LN879347.1; LN879354.1; LT908020.1; S69173.1; Y13251.1		
Pectobacterium carotovorum	Pectobacterium carotovorum(Erwinia carotovora)		bacteria	554	Bacterial stalk rot / soft rot	细菌性茎腐病/软腐病/细菌性顶腐病	confirmed	Hoffmann A, Zenelt W, Krawczyk K. The effect of the method of inoculation of corn plants with bacterial pathogens on the formation and development of disease symptoms[J]. 2024.	present	34	AB680074.1; AB680143.1; AB680280.1; AB680554.1; AB681950.1; AB744142.1; AJ233411.1; AM491055.1; AM491056.1; HF674984.1; HF674985.1; HF674986.1; HF674987.1; HF674988.1; HF674989.1; HF674990.1; HF674991.1; HF674992.1; HF678371.1; LN811442.1; LN851547.1; LN851553.1; LN851554.1; LN851555.1; LN851556.1; LT592250.1; LT592251.1; LT592252.1; LT592253.1; LT592254.1; LT592255.1; LT592257.1; LT592261.1; LT899993.1		
Pseudomonas aeruginosa	Pseudomonas aeruginosa		bacteria	287	top rot	顶腐病	confirmed	WANG X M, WANG Z Y. Illustrated Handbook of Maize Diseases, Insect Pests and Weeds in China. Beijing: China Agriculture Press, 2018. (in Chinese) 陈斌,韩海亮,侯俊峰,等.玉米细菌性茎腐病研究进展[J].中国植保导刊,2021,41(8):25-29+65. 姚秀英,代真林,魏兰芳,等.一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定[J].植物病理学报,2021,51(5):822-827.DOI:10.13926/j.cnki.apps.000731.	present	42	LC815917.1; LC815921.1; LC816373.1; LC816374.1; LC816375.1; LC816376.1; LC816377.1; LC816378.1; LC816379.1; LC816380.1; LC816381.1; LC816382.1; LC834139.1; LC836059.1; LC843372.1; LC875561.1; LC921246.1; OX503253.1; OX503254.1; OX503255.1; OX503256.1; OX503257.1; OX503258.1; OX503259.1; OX503260.1; OX503261.1; OX503262.1; OX503263.1; OX503264.1; OX503265.1; OX503266.1; OX503267.1; OX503268.1; OX503269.1; OX503270.1; OX503271.1; OX503272.1; OX503273.1; PP809806.1; PP809858.1; PP809878.1; PZ413526.1		
Pseudomonas asplenii	Pseudomonas asplenii (Pseudomonas fuscovaginae )		bacteria	53407	sheath brown rot	鞘褐腐病	confirmed	Duveiller E, Snacken F, Maraite H, et al. First detection of Pseudomonas fuscovaginae on maize and sorghum in Burundi[J]. 1989.	present	6	AB021381.1; AB021397.1; AJ288296.1; HE586387.1; HF936978.1; Z76655.1		
Pseudomonas extremorientalis	Pseudomonas extremorientalis		bacteria	169669	Bacterial stalk rot	玉米细菌性茎腐病	confirmed	陈斌,韩海亮,侯俊峰,等.玉米细菌性茎腐病研究进展[J].中国植保导刊,2021,41(8):25-29+65. 姚秀英,代真林,魏兰芳,等.一株新的引起玉米细菌性茎腐病病原细菌的分离鉴定[J].植物病理学报,2021,51(5):822-827.DOI:10.13926/j.cnki.apps.000731.	present	3	LC654276.1; LK985437.1; LN997963.1		
Pseudomonas syringae pv. lapsa	Pseudomonas syringae pv. lapsa (Pseudomonas lapsa)		bacteria	199201	Bacterial stalk rot	玉米细菌性茎腐病	confirmed	郑雅楠,吕国忠,杨宇,等.玉米细菌性茎腐病鉴别与防治[J].安徽农业科学,2006,(10):2128+2133.DOI:10.13989/j.cnki.0517-6611.2006.10.056﻿.	missing	0		No public marker gene sequence found in NCBI GenBank (2026-08-25)	
Pseudomonas syringae pv. syringae	Pseudomonas syringae pv. syringae		bacteria	321	Holcus spot	细菌性褐斑病 (Holcus spot)	confirmed	Ravindran A, Jalan N, Yuan J S, et al. Comparative genomics of Pseudomonas syringae pv. syringae strains B301D and HS 191 and insights into intrapathovar traits associated with plant pathogenesis[J]. Microbiologyopen, 2015, 4(4): 553-573.	present	10	AM399036.1; LN849855.1; LN876273.1; LN876274.1; LN876276.1; LN876277.1; LN876278.1; LN876279.1; LS991860.1; LT630486.1		
Robbsia andropogonis	Robbsia andropogonis(Pseudomonas andropogonis)		bacteria	28092	leaf spot	叶斑病	confirmed	Vidaver A K, Carlson R R. Leaf Spot of Field Corn Caused by Pseudimonas andropogonis[J]. 1978.	present	6	AB021422.1; AB744701.1; AM392339.1; AM392350.1; AM502984.1; LC507981.1		
Serratia marcescens	Serratia marcescens		bacteria	615	Bacterial stalk rot (opportunistic)	细菌性茎腐病(条件致病)	opportunistic	Liu H, Zhao C, Wang Y, et al. Isolation and Identification of the Causal Agent of Top Rot and the Genetic Architecture of Resistance in Maize[J]. Plant Disease, 2023, 107(9): 2799-2807.	present	43	AB116388.1; AB594756.1; AB681729.1; FJ917355.1; HE804807.2; HE995790.2; HG800005.1; HG941700.1; KY623684.1; LC529707.1; LC571916.1; LC571929.1; LC571930.1; LC571935.1; LC571939.1; LC571942.1; LC572258.1; LC581798.1; LC595302.1; LC595307.1; LC625784.1; LC627326.1; LC645190.1; LC790163.1; LC790164.1; LC815918.1; LM655405.1; LN884126.1; LN995790.1; LN997966.1; LT608121.1; LT628254.1; LT628255.1; LT628256.1; LT631776.1; LT631777.1; LT678778.1; LT682310.1; LT691102.1; LT694243.1; NG_048058.1; OU548751.1; OX250429.1		
Stenotrophomonas maltophilia	Stenotrophomonas maltophilia		bacteria	40324	Stalk rot / leaf spot (occasional, opportunistic)	茎腐病/叶斑病(偶发，条件致病)	opportunistic	Heidari M, Aeini M. Stenotrophomonas maltophilia causing maize (Zea mays L.) seedling soft rot disease, an emerging threat to maize crop[J]. Journal of Phytopathology, 2024, 172(2): e13299.	present	43	LC583236.1; LC595315.1; LC595316.1; LC616394.1; LC699795.1; LC716956.1; LC716963.1; LC716966.1; LC717005.1; LC717006.1; LC717014.1; LC717015.1; LC717019.1; LC717023.1; LC717024.1; LC717095.1; LC717100.1; LC717102.1; LC717103.1; LC717144.1; LC717149.1; LC735262.1; LC737962.1; LC764400.1; LC773897.1; LC773931.1; LC775012.1; LC779707.1; LC779708.1; LC790010.1; LC836061.1; LC836062.1; LC875547.1; LC875551.1; LC875552.1; LC875554.1; LC875555.1; LC875559.1; LC925143.1; LR862426.1; LR862431.1; OZ371428.1; OZ371454.1		
