species	full_name	synonyms	category	taxid	disease_en	disease_cn	evidence_level	evidence_refs_raw	sequence_status	sequence_count	accessions	missing_reason	notes
Potyvirus sacchari	Sugarcane mosaic virus (SCMV)		viruses	12224	Sugarcane mosaic (infects maize)	甘蔗花叶病(侵染玉米)	confirmed	Jones RAC. (2021). Global Plant Virus Disease Pandemics. Plants	present	43	KU171814.1; KU171815.1; KU171816.1; KU171817.1; MF467393.1; MF467394.1; MF467395.1; MF467396.1; MF467397.1; MF467398.1; MF467399.1; MF467400.1; MF467401.1; MF467402.1; MF467403.1; MF467404.1; MH580837.1; MN097767.1; MN097768.1; MN097769.1; MN203189.1; MN714644.1; MN756484.1; MN759251.1; MN788498.1; MN795295.1; MN813966.1; MN813967.1; MW248339.1; OP150408.1; OP150410.1; OQ060499.1; OQ446805.1; OQ948124.1; PP130177.1; PP130178.1; PV021393.1; PV974322.1; PV974323.1; PV974327.1; PV974337.1; PV974339.1; PV974340.1		
Potyvirus sorghitessellati	Sorghum mosaic virus (SrMV)		viruses	32619	Sorghum mosaic (may infect maize)	高粱花叶病毒(偶侵染玉米)	confirmed	Kannan M, Ismail I, Bunawan H. Maize dwarf mosaic virus: from genome to disease management[J]. Viruses, 2018, 10(9): 492.	present	33	FM997897.1; FM997898.1; FM997899.1; FM997900.1; FM997901.1; FM997902.1; FM997903.1; FM997904.1; FM997905.1; FM997906.1; FM997907.1; FM997908.1; FM997909.1; KJ541740.1; KM025038.1; KM025039.1; KM025040.1; KM025041.1; KM025042.1; KM025043.1; KM025044.1; KM025045.1; KM025046.1; KM025047.1; KM025048.1; KM025049.1; KM025050.1; KM025051.1; KM025052.1; KM025053.1; KM025054.1; NC_004035.1; U57358.2		
Potyvirus zeananus	Maize dwarf mosaic virus (MDMV)		viruses	12203	Maize dwarf mosaic	玉米矮花叶病	confirmed	Jones RAC. (2021). Global Plant Virus Disease Pandemics. Plants	present	27	JQ280313.1; JQ403608.1; JQ403609.2; JX185302.2; MK282423.1; MN615724.1; MW026050.1; MW026051.1; MW026052.1; MW026053.1; MW026054.1; MW026055.1; MW026056.1; MW026057.1; MW026058.1; MW026059.1; MW026060.1; MW026061.1; MW026062.1; MW026063.1; MW026064.1; MW026065.1; MW026066.1; NC_003377.1; ON604838.1; OQ060498.1; OQ236070.1		
Potyvirus zeatessellati	Zea mosaic virus		viruses	115232	Maize dwarf mosaic	玉米矮花叶病	confirmed	Seifers D L, Salomon R, Marie-Jeanne V, et al. Characterization of a novel potyvirus isolated from maize in Israel[J]. Phytopathology, 2000, 90(5): 505-513.	missing	0		No public marker gene sequence found in NCBI GenBank (2026-08-25)	
Tenuivirus oryzaclavatae	Rice stripe virus (Tenuivirus oryzaclavatae)		viruses	3052763	Rice stripe	玉米褪绿条纹病	confirmed	MUNKVOLD G P, WHITE D G. Compendium of Corn Diseases. 4th ed. Saint Paul: The American Phytopathological Society Press, 2016.	present	3	PZ126585.1; PZ126586.1; PZ126587.1		
Tenuivirus zeae	Maize stripe virus (MSpV)		viruses	3052767	Maize stripe disease	玉米条纹叶枯病	confirmed	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	present	3	MW328594.2; MW328595.2; MW328596.2		
Totivirus jyukyu	Maize-associated totivirus		viruses	1756285	Persistent/latent infection (no clear disease)	持续性/潜伏感染(无明显病害症状)	confirmed	Read D A, Featherston J, Rees D J G, et al. Diversity and distribution of Maize-associated totivirus strains from Tanzania[J]. Virus Genes, 2019, 55(3): 429-432.	present	3	MW063115.1; MW063116.1; OQ953827.1		
Tritimovirus tritici	Wheat streak mosaic virus (WSMV)		viruses	31741	Wheat streak mosaic (infects maize)	小麦条斑花叶病(侵染玉米)	confirmed	Satyanarayana T, Roy F. The C-terminus of Wheat streak mosaic virus Coat Protein Is Involved in Differential Infection of Wheat and Maize through Host-Specific Long-Distance Transport[J]. 2014.	present	43	OK181891.1; OK181892.1; OK181893.1; OK181894.1; OR082783.1; OR900886.1; OR900887.1; OR900888.1; OR900889.1; OR900890.1; OR900891.1; OR900892.1; OR900893.1; OR900894.1; OR900895.1; OR900896.1; OR900897.1; OR900898.1; OR900899.1; OR900900.1; OR900901.1; OR900902.1; OR900903.1; OR900904.1; OR900905.1; OR900906.1; OR900907.1; OR900908.1; OR900909.1; OR900910.1; OR900911.1; OR900912.1; OR900913.1; OR900914.1; OR900915.1; OR900916.1; OR900917.1; OR900918.1; OR900919.1; PP856226.1; PV525500.1; PV525501.1; PX738486.1		
Waikavirus zeae	Maize chlorotic dwarf virus (MCDV)		viruses	51354	Maize chlorotic dwarf	玉米褪绿矮缩病	confirmed	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	present	6	AY362551.1; AY829112.2; MH713426.1; MN203201.1; MW727468.1; NC_003626.1		
Zeavirus zeae	Maize necrotic streak virus (MNeSV)		viruses	137556	Maize necrotic streak	玉米坏死条纹病	confirmed	Louie R, Redinbaugh M G, Gordon D T, et al. Maize necrotic streak virus, a new maize virus with similarity to species of the family Tombusviridae[J]. Plant disease, 2000, 84(10): 1133-1139.	present	2	NC_007729.1		
Agroathelia rolfsii (Sclerotium rolfsii, Athelia rolfsii)	Agroathelia rolfsii/Sclerotium rolfsii( Athelia rolfsii)	Sclerotium rolfsii; Athelia rolfsii	fungi	39291	Southern blight (Sclerotium rot)	白绢病/菌核病	confirmed	Ahmad Y, Mirza M S, Aslam M. Collar rot of maize caused by Sclerotium rolfsii in Pakistan[J]. Pakistan Journal of Agricultural Research (Pakistan), 1988, 9(4).	present	43	MH854711.1; MH858139.1; PP622046.1; PQ613299.1; PV805654.1; PV821533.1; PV822558.1; PZ127017.1; PZ148206.1; PZ177363.1; PZ177406.1; PZ213631.1; PZ270758.1; PZ270759.1; PZ295574.1; PZ324789.1; PZ336356.1; PZ361890.1; PZ366142.1; PZ451097.1; PZ519993.1; PZ535494.1; PZ554746.1; PZ559837.1; PZ610294.1; PZ630286.1; PZ630381.1; PZ683046.1; PZ686062.1; PZ686333.1; PZ687867.1; PZ688792.1; PZ694641.1; PZ694642.1; PZ704274.1; PZ714845.1; PZ715215.1; PZ725266.1; PZ725267.1; PZ790401.1; PZ827123.1; PZ829596.1; PZ829597.1		
Alternaria alternata	Alternaria alternata		fungi	5599	Alternaria leaf blight, leaf spot	链格孢叶枯病/叶斑病	confirmed	Xu X, Zhang L, Yang X, et al. Alternaria spp. associated with leaf blight of maize in Heilongjiang Province, China[J]. Plant Disease, 2022, 106(2): 572-584.	present	43	PX071429.1; PX071430.1; PX071442.1; PZ168227.1; PZ168228.1; PZ168229.1; PZ168230.1; PZ168231.1; PZ168232.1; PZ168233.1; PZ168234.1; PZ168235.1; PZ168236.1; PZ597222.1; PZ597223.1; PZ597224.1; PZ745329.1; PZ747778.1; PZ747779.1; PZ747780.1; PZ747781.1; PZ747783.1; PZ747785.1; PZ748287.1; PZ760429.1; PZ779820.1; PZ785153.1; PZ785242.1; PZ789668.1; PZ790489.1; PZ790548.1; PZ790556.1; PZ790926.1; PZ795308.1; PZ812260.1; PZ812261.1; PZ812262.1; PZ812293.1; PZ818895.1; PZ829971.1; PZ830880.1; PZ832358.1; PZ832363.1		
Alternaria burnsii	Alternaria burnsii		fungi	1187904	Leaf Blight	叶斑病	confirmed	Xu X, Zhang L, Yang X, et al. Alternaria spp. associated with leaf blight of maize in Heilongjiang Province, China[J]. Plant Disease, 2022, 106(2): 572-584.	present	43	MH863039.1; MH863040.1; MH865506.1; PP818958.1; PP915572.1; PQ060524.1; PQ119820.1; PQ285273.1; PQ285359.1; PQ584514.1; PQ584542.1; PQ605800.1; PQ651414.1; PQ651417.1; PQ651441.1; PV021216.1; PV124578.1; PV230488.1; PV234051.1; PV370362.1; PV455609.1; PV533641.1; PV533644.1; PV602354.1; PV704998.1; PV915450.1; PV961372.1; PX048803.1; PX116852.1; PX285291.1; PX435312.1; PX448602.1; PX457138.1; PX735823.1; PX752285.1; PX842235.1; PX945825.1; PZ017494.1; PZ098972.1; PZ267196.1; PZ385187.1; PZ492660.1; PZ783952.1		
Alternaria tenuissima	Alternaria tenuissima		fungi	119927	Alternaria Leaf Spot	链格孢叶枯病	confirmed	Xu X, Zhang L, Yang X, et al. Alternaria spp. associated with leaf blight of maize in Heilongjiang Province, China[J]. Plant Disease, 2022, 106(2): 572-584.	present	43	LC939292.1; MH856117.1; MH864067.1; PX765461.1; PZ154704.1; PZ154705.1; PZ326482.1; PZ359470.1; PZ360081.1; PZ368548.1; PZ390053.1; PZ395211.1; PZ401100.1; PZ401105.1; PZ401109.1; PZ401111.1; PZ424331.1; PZ531991.1; PZ537238.1; PZ538189.1; PZ540352.1; PZ556451.1; PZ575847.1; PZ584630.1; PZ584631.1; PZ584632.1; PZ585958.1; PZ620330.1; PZ621006.1; PZ624027.1; PZ625950.1; PZ626849.1; PZ645955.1; PZ653134.1; PZ658215.1; PZ658224.1; PZ675721.1; PZ679418.1; PZ695127.1; PZ716778.1; PZ789846.1; PZ789847.1; PZ830033.1		
Ascochyta maydis	Ascochyta maydis		fungi	NOT_VERIFIED	leaf spot	叶斑病	confirmed	Stout G L. New fungi found on the Indian corn plant in Illinois[J]. Mycologia, 1930, 22(6): 271-287. | NCBI Taxonomy 未收录 Ascochyta maydis；与 Didymella maydis 非同一物种，TaxID 不可混用	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Ascochyta zeae	Ascochyta zeae		fungi	NOT_VERIFIED	leaf spot	叶斑病	confirmed	Subedi S. A review on important maize diseases and their management in Nepal[J]. Journal of Maize Research and Development, 2015, 1(1): 28-52. | NCBI Taxonomy 未收录 Ascochyta zeae	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Aspergillus flavus	Aspergillus flavus		fungi	5059	Aspergillus ear rot (aflatoxin contamination)	黄曲霉穗腐病(黄曲霉毒素污染)	confirmed	Klich M A. Aspergillus flavus: the major producer of aflatoxin[J]. Molecular plant pathology, 2007, 8(6): 713-722.	present	43	PV911002.1; PV911003.1; PV911004.1; PV911021.1; PV911022.1; PV911039.1; PV911040.1; PV911041.1; PV911042.1; PV911061.1; PV911062.1; PV911065.1; PV911066.1; PV911091.1; PV911092.1; PV911099.1; PV911100.1; PX694519.1; PX696736.1; PZ166306.1; PZ166307.1; PZ673691.1; PZ742422.1; PZ748288.1; PZ748307.1; PZ748308.1; PZ748919.1; PZ766598.1; PZ766600.1; PZ766603.1; PZ766606.1; PZ766607.1; PZ766611.1; PZ766612.1; PZ766614.1; PZ766615.1; PZ766618.1; PZ769818.1; PZ780177.1; PZ789686.1; PZ790467.1; PZ794437.1; PZ798434.1		
Aspergillus glaucus	Aspergillus glaucus		fungi	41413	Aspergillus ear rot	曲霉穗腐病	confirmed	Nnebechukwu I A, Rwang N Y, Ikechi-Nwogu C G, et al. A COMPARATIVE ANALYSIS OF THE ANTIFUNGAL EFFECTS OF YEAST AND BACILLUS SUBTILIS IN THE CONTROL OF BLUE EYE MOLD DISEASE OF MAIZE AND RICE[J]. FUDMA JOURNAL OF SCIENCES, 2024, 8(6): 581-586.	present	28	AY373887.1; EF652053.1; GU319986.1; JF922029.1; JN942870.1; JQ724365.1; JQ724459.1; KC485448.1; KF298065.1; KM232504.1; KT151583.1; KX022492.1; KX394538.1; LT670943.1; MH855094.1; MH857408.1; MH858701.1; MH860132.1; MK140705.1; MN454494.1; MT133798.1; MT156110.1; MT226599.1; MT443927.1; MZ091474.1; MZ158597.1; OR136216.1; OR342865.1		
Aspergillus niger	Aspergillus niger		fungi	5061	Black mold/Aspergillus ear rot	黑曲霉穗腐病/黑霉病	confirmed	Goher F, Khan F S, Saeed S, et al. First report of Aspergillus niger causing preharvest ear rot infection of maize in Pakistan[J]. Plant Disease, 2021, 105(1): 228.	present	43	PP922460.1; PV910901.1; PV910902.1; PV910903.1; PV910904.1; PV910905.1; PV910906.1; PV910917.1; PV910918.1; PV910929.1; PV910930.1; PV910935.1; PV910936.1; PV910943.1; PV910944.1; PV910965.1; PV910966.1; PV910973.1; PV910974.1; PV911007.1; PV911008.1; PV911027.1; PV911028.1; PV911071.1; PV911072.1; PV911089.1; PV911090.1; PX071336.1; PZ740568.1; PZ742441.1; PZ742470.1; PZ742506.1; PZ766605.1; PZ766610.1; PZ769817.1; PZ794712.1; PZ803275.1; PZ805016.1; PZ805022.1; PZ810688.1; PZ818887.1; PZ830759.1; PZ832409.1		
Aspergillus parasiticus	Aspergillus parasiticus		fungi	5067	Aspergillus ear rot	曲霉穗腐病	confirmed	Sivakaame G, Anand T, Paranidharan V, et al. Exploring Bacterial Endophytes as Potential Biocontrol Agents Against Aspergillus parasiticus Colonisation and Aflatoxin Contamination in Maize[J]. Journal of Phytopathology, 2025, 173(4): e70119.	present	43	LC752805.1; MZ458570.1; MZ503575.1; ON797623.1; ON797663.1; OP247616.1; OP329184.1; OP802634.1; OQ456472.1; OQ456473.1; OQ456475.1; OQ519962.1; OR005238.1; OR005263.1; OR005327.1; OR095654.1; OR287098.1; OR392778.1; OR754375.1; PP177521.1; PP717838.1; PP814824.1; PP851667.1; PQ049600.1; PQ403971.1; PQ403972.1; PQ460365.1; PQ463349.1; PQ511233.1; PQ643988.1; PQ644082.1; PQ826441.1; PV065873.1; PV194997.1; PV464648.1; PX056166.1; PX244200.1; PX426404.1; PX427487.1; PX533089.1; PZ267755.1; PZ405196.1; PZ742435.1		
Aspergillus tamarii	Aspergillus tamarii		fungi	41984	seed rot	种腐病	confirmed	Okoth S, Nyongesa B, Ayugi V, et al. Toxigenic potential of Aspergillus species occurring on maize kernels from two agro-ecological zones in Kenya[J]. Toxins, 2012, 4(11): 991-1007.	present	43	KP329611.1; KP329668.1; MH854614.1; MH856295.1; MH858230.1; MH859187.1; MH859188.1; MH864331.1; MH865259.1; PV107769.1; PV107773.1; PV107797.1; PV107904.1; PV108476.1; PV111578.1; PV111585.1; PV111586.1; PV910913.1; PV910914.1; PX048793.1; PX102345.1; PX668513.1; PX691414.1; PX715388.1; PX830074.1; PX830096.1; PX830100.1; PX830132.1; PX844903.1; PX848691.1; PX909670.1; PZ000582.1; PZ091391.1; PZ228455.1; PZ230380.1; PZ245384.1; PZ245385.1; PZ305998.1; PZ359181.1; PZ406413.1; PZ484231.1; PZ543310.1; PZ668823.1		
Bipolaris maydis (Cochliobolus heterostrophus)	Bipolaris maydis (Cochliobolus heterostrophus)	Cochliobolus heterostrophus	fungi	5016	Southern corn leaf blight (SCLB)	玉米小斑病	confirmed	Bruns H A. Southern corn leaf blight: a story worth retelling[J]. Agronomy Journal, 2017, 109(4): 1218-1224.	present	43	MH855024.1; MH858439.1; MH864477.1; MN957101.1; OQ862319.1; OQ862320.1; OQ862321.1; OQ862322.1; OQ862323.1; PP712917.1; PP712918.1; PP712919.1; PP712923.1; PP712924.1; PP712925.1; PP712927.1; PP712928.1; PP712929.1; PP712930.1; PP712931.1; PP712933.1; PP712934.1; PP712935.1; PP712936.1; PP712937.1; PP712938.1; PP921324.1; PP941958.1; PP956941.1; PP956942.1; PP957146.1; PP962216.1; PP981363.1; PP988397.1; PQ373033.1; PQ500574.1; PQ795811.1; PQ804476.1; PV291680.1; PX376342.1; PX884713.1; PZ625875.1; PZ764227.1		
Bipolaris sorokiniana (Cochliobolus sativus)	Bipolaris sorokiniana (Cochliobolus sativus)	Cochliobolus sativus	fungi	45130	Common root rott/seedling blight/ Bipolaris leaf spot	普通根腐病/苗枯病平脐蠕孢叶斑病	confirmed	郭宁,倪璇,石洁,等.玉米麦根腐平脐蠕孢叶斑病的发生与病原鉴定[J].植物病理学报,2017,47(1):1-8.DOI:10.13926/j.cnki.apps.000049.	present	43	MH855246.1; MH855247.1; MH856637.1; MH857554.1; MH857555.1; MH857556.1; MH858440.1; MH858691.1; MH860558.1; MH864696.1; MH864697.1; MH864698.1; PX069952.1; PX069954.1; PX069955.1; PX069956.1; PX069957.1; PX069962.1; PX069964.1; PX069965.1; PX069969.1; PX069970.1; PX069972.1; PX069973.1; PX069974.1; PX069975.1; PX069976.1; PX069978.1; PX069980.1; PX069981.1; PX069982.1; PX069984.1; PX069985.1; PX069986.1; PX069988.1; PX069989.1; PX069990.1; PX069991.1; PX069992.1; PX069996.1; PZ626160.1; PZ812087.1		
Bipolaris zeicola (Cochliobolus carbonum)	Bipolaris zeicola (Cochliobolus carbonum)	Cochliobolus carbonum	fungi	5017	Northern corn leaf spot/Helminthosporium leaf spot	玉米圆斑病/北方叶斑病	confirmed	Tonukari N J, Scott-Craig J S, Waltonb J D. The Cochliobolus carbonum SNF1 gene is required for cell wall–degrading enzyme expression and virulence on maize[J]. The Plant Cell, 2000, 12(2): 237-247.	present	43	MG228424.1; MH864761.1; MK304167.1; MK841439.1; MN022588.1; MN871712.1; MT065699.1; MT378438.1; MW407046.1; MW926395.1; MW929303.1; OL616291.1; OM106226.1; OP388921.1; OP412907.1; OP412918.1; OP412942.1; OP412947.1; OP412948.1; OP412949.1; OP412952.1; OP412953.1; OP536177.1; OP536194.1; OQ193155.1; OQ199493.1; OQ202064.1; OR260420.1; OR263172.1; OR543157.1; OR690742.1; OR727460.1; PP068947.1; PP217184.1; PP921151.1; PP961917.1; PQ187677.1; PQ272051.1; PQ278104.1; PQ289216.1; PQ421580.1; PX218573.1		
Botryosphaeria zeae	Botryosphaeria zeae		fungi	NOT_VERIFIED	Gray ear rot	穗灰腐病	confirmed	Bezuidenhout, Henrietta and Marasas W F O. Botryosphaeria zeae: the cause of grey ear rot of maize (Zea mays) in South Africa[J]. Phytophylactica, 1978, 10(1): 21-24. | NCBI Taxonomy 未收录 Botryosphaeria zeae	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Botrytis cinerea	Botrytis cinerea		fungi	40559	Gray mold, ear rot (rare)	灰霉病/灰霉穗腐	confirmed	Liang Y, Bi K, Sharon A. The Botrytis cinerea transglycosylase BcCrh4 is a cell death‐inducing protein with cell death‐promoting and‐suppressing domains[J]. Plant, cell & environment, 2024, 47(1): 354-371.	present	9	PZ707276.1; PZ707290.1; PZ715754.1; PZ715779.1; PZ715780.1; PZ734647.1; PZ756804.1; PZ756805.1; PZ774987.1		
Ceratobasidium cereale (Rhizoctonia cerealis)	Rhizoctonia cerealis/Ceratobasidium cereale	Rhizoctonia cerealis	fungi	76351	sharp eyespot	锐眼斑病	confirmed	Tomaso-Peterson M, Trevathan L E. Characterization of Rhizoctonia-like fungi isolated from agronomic crops and turfgrasses in Mississippi[J]. Plant disease, 2007, 91(3): 260-265.	present	39	OR980720.1; OR980721.1; OR980722.1; OR980723.1; OR980724.1; OR980725.1; OR980726.1; OR980727.1; OR980729.1; OR980730.1; OR980731.1; OR980732.1; OR980733.1; OR980734.1; OR980735.1; OR980736.1; OR980737.1; OR980738.1; OR980739.1; OR980740.1; OR980741.1; OR980742.1; OR980743.1; OR980744.1; OR980745.1; OR980746.1; OR980747.1; OR980748.1; OR980749.1; OR980750.1; PP357949.1; PP357952.1; PP357954.1; PP357959.1; PP357968.1; PP357969.1; PQ879995.1; PV849335.1; PZ433256.1		
Ceratocystis paradoxa/Thielaviopsis paradoxa	Ceratocystis paradoxa/Thielaviopsis paradoxa		fungi	13001	Ceratocystis paradoxa leaf spot	长喙壳叶斑病	confirmed	Kumari M, Kamat S, Dixit R, et al. Microbial formulation approaches in postharvest disease management[M]//Food security and plant disease management. Woodhead Publishing, 2021: 279-305.	present	43	MH855239.1; MH859867.1; OQ422147.1; OQ422148.1; OQ422149.1; OQ422150.1; OQ422151.1; OQ422152.1; OQ422153.1; OQ422154.1; OQ422155.1; OQ422156.1; OQ422157.1; OQ422158.1; OQ422159.1; OQ422160.1; OQ448884.1; OQ791411.1; OR345245.1; OR564191.1; PP502916.1; PP587644.1; PP838332.1; PQ001935.1; PQ390716.1; PQ390717.1; PQ489344.1; PQ489346.1; PQ489348.1; PQ643222.1; PQ643223.1; PQ846880.1; PV290762.1; PV534988.1; PV562478.1; PV998055.1; PV998057.1; PV998079.1; PV998083.1; PV998085.1; PX858216.1; PX858217.1; PZ392141.1		
Cercospora sorghi var. maydis	Cercospora sorghi var. maydis		fungi	161743	Gray Leaf Spot	灰斑病	confirmed	Crous P W, Groenewald J Z, Groenewald M, et al. Species of Cercospora associated with grey leaf spot of maize[J]. Studies in Mycology, 2006, 55(1): 189-197.	present	2	AF297232.1; AF297233.1		
Cercospora zeae-maydis	Cercospora zeae-maydis		fungi	135779	Gray leaf spot (GLS)	玉米灰斑病	confirmed	Ward J M J, Stromberg E L, Nowell D C, et al. Gray leaf spot: a disease of global importance in maize production[J]. Plant disease, 1999, 83(10): 884-895.	present	9	OQ732341.1; OQ732350.1; OQ732363.1; OR945717.1; PQ571649.1; PQ571652.1; PQ571656.1; PQ650760.1; PQ650762.1		
Cercospora zeina	Cercospora zeina		fungi	348901	Gray Leaf Spot	灰斑病	confirmed	Liu K J, Xu X D. First report of gray leaf spot of maize caused by Cercospora zeina in China[J]. Plant Disease, 2013, 97(12): 1656-1656.	present	42	DQ185082.1; EU569219.1; EU569225.1; EU569227.1; EU569228.1; EU569229.1; KC878692.1; KM087687.1; KM087691.1; KX458028.1; MW486035.1; MW486036.1; PQ056514.1; PQ056515.1; PQ056516.1; PQ056517.1; PQ056518.1; PQ056519.1; PQ056520.1; PQ056521.1; PQ056522.1; PQ056523.1; PQ056524.1; PQ056525.1; PQ056526.1; PQ056527.1; PQ056553.1; PQ056554.1; PQ056555.1; PQ056556.1; PQ056557.1; PQ056558.1; PQ056559.1; PQ056587.1; PQ061883.1; PQ571645.1; PQ571646.1; PQ571647.1; PQ571650.1; PQ571655.1; PQ571657.1; PV133732.1		
Cladosporium cladosporioides	Cladosporium cladosporioides		fungi	29917	Cladosporium ear rot	玉米枝孢穗腐病	confirmed	Price J L, Visagie C M, Meyer H, et al. Fungal species and mycotoxins associated with maize ear rots collected from the eastern Cape in South Africa. Toxins (Basel). 2024; 16 (2): 95[EB/OL]. 杜娟,郭洁蓓,胡佳,等.枝孢菌引致的玉米叶枯病研究[J].玉米科学,2025,33(6):115-121.DOI:10.13597/j.cnki.maize.science.20250616.	present	43	MH857281.1; MH863917.1; MH863979.1; MH864012.1; MH864338.1; MH864397.1; MH864399.1; MH864505.1; MH864528.1; MH864765.1; MH864834.1; MH865207.1; PP844230.1; PP844306.1; PP922467.1; PQ350598.1; PQ350611.1; PQ350620.1; PQ350628.1; PQ350633.1; PQ350635.1; PV620203.1; PX071371.1; PX071389.1; PX132778.1; PX587824.1; PZ575793.1; PZ575807.1; PZ575811.1; PZ575815.1; PZ579211.1; PZ579228.1; PZ658197.1; PZ661514.1; PZ691839.1; PZ706475.1; PZ719801.1; PZ728842.1; PZ770543.1; PZ794430.1; PZ816501.1; PZ818897.1; PZ830435.1		
Cladosporium herbarum	Cladosporium herbarum		fungi	29918	Cladosporium kernel/ear rot	枝孢霉穗腐病/叶斑病玉米枝孢穗腐病	confirmed	Crop Protection Network (2019). Cladosporium Ear Rot of Corn.	present	43	MH856530.1; MH856534.1; MH863793.1; MH863798.1; MH863980.1; MH863981.1; MH864758.1; MH864772.1; MH864860.1; MH864921.1; MH865142.1; MH865203.1; PQ206470.1; PQ671421.1; PQ770979.1; PV610483.1; PV620838.1; PV627107.1; PV926999.1; PX251922.1; PX307988.1; PX387364.1; PX487951.1; PX642697.1; PX789605.1; PX875864.1; PX917478.1; PZ027909.1; PZ059824.1; PZ135076.1; PZ177861.1; PZ204099.1; PZ204109.1; PZ242070.1; PZ278099.1; PZ278104.1; PZ465749.1; PZ567589.1; PZ627261.1; PZ658223.1; PZ690027.1; PZ690029.1; PZ742013.1		
Claviceps gigantea	Claviceps gigantea		fungi	89175	Horse's tooth (ergot-like)	巨型麦角病 (Horse's tooth)	confirmed	Fuentes S F, De La Isla D L I, Maria De L M D L, et al. Claviceps gigantea, a new pathogen of Maize in Mexico[J]. 1964.	present	7	AJ133394.2; KJ543564.1; KJ543565.1; KJ543566.1; KJ543567.1; LT216445.1; LT216446.1		
Colletotrichum graminicola /Glomerella graminicola	Colletotrichum graminicola /(Glomerella graminicola)		fungi	31870	Anthracnose stalk rot	炭疽茎腐病	confirmed	Sukno S A, García V M, Shaw B D, et al. Root infection and systemic colonization of maize by Colletotrichum graminicola[J]. Applied and environmental microbiology, 2008, 74(3): 823-832.	present	42	OM100560.1; OM744895.1; ON207619.1; OQ708382.1; OQ708383.1; OR652903.1; OR652904.1; OR672067.1; OR672083.1; PP175020.1; PP175021.1; PP175022.1; PP175023.1; PP175024.1; PP175025.1; PP175026.1; PP175029.1; PP175030.1; PP175031.1; PP175032.1; PP175033.1; PP216364.1; PP794884.1; PP921285.1; PV111058.1; PV200082.1; PV200083.1; PV726012.1; PV726013.1; PV726014.1; PV726019.1; PV726020.1; PV726021.1; PV726033.1; PV726038.1; PV726039.1; PV726040.1; PV726041.1; PX736229.1; PX974531.1; PX974532.1; PZ360773.1		
Curvularia aeria / Curvularia lunata var. aeria	Curvularia aeria/Curvularia lunata var. aeria		fungi	1203437	Curvularia leaf spot	弯孢叶斑病	confirmed	Garhwal P D, Sharma S S, Dahima V, et al. Physiopathological studies, characterization and yield loss assessment of Curvularia leaf spot of maize (Zea mays)[J]. 2022.	present	43	LC494368.1; MH424595.1; MH858056.1; MH859836.1; MK736814.1; MK736815.1; MN006621.1; MN170718.1; MN881067.1; MN999546.1; MT043775.1; MT158678.1; MT470608.1; OM265294.1; OP380878.1; OP819300.1; OQ085111.2; OQ435847.1; OQ435856.1; OQ435873.1; OQ657944.1; OQ657945.1; OQ692607.1; OR101252.1; OR256268.1; OR425097.1; OR425098.1; OR501386.1; OR858888.1; OW985728.1; OW986267.1; PP291902.1; PV978689.1; PV979372.1; PV979376.1; PV979412.1; PX061842.1; PX588339.1; PX627198.1; PX654071.1; PX908926.1; PZ185322.1; PZ482264.1		
Curvularia australiensis	Curvularia australiensis		fungi	91365	Curvularia leaf spot	弯孢叶斑病	confirmed	Chang J Y, Zhang H J, Shi J, et al. First report of Curvularia australiensis causing leaf spot on maize (Zea mays) in China[J]. Plant Disease, 2016, 100(8): 1780-1780.	present	43	HE792906.1; HE792907.1; HF934912.1; KC424595.1; KC424607.1; KC424613.1; KM999998.1; KP400633.1; KP641162.1; KP658386.1; KR363626.1; KR673907.1; KR673908.1; KT154009.1; KT719300.1; KU296271.1; KU645991.1; MF380799.1; MG596636.1; MH857686.1; MH864363.1; MH864364.1; MH864365.1; MH885522.1; MK299137.1; MK300005.1; MK804732.1; MN173123.1; MN173134.1; MN173135.1; MN556333.1; MN556334.1; MN560093.1; MT556351.1; MW479390.1; MW553173.1; OL984253.1; OP811007.1; OP881827.1; OQ118377.1; OR429427.1; OR473181.1; PP968096.1		
