species	taxid	category	search_string	hits	unique_pmids
Lasiodiplodia theobromae / Botryodiplodia tubericola	45133	fungi	"Lasiodiplodia theobromae / Botryodiplodia tubericola"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Leptosphaeria multiseptata / Entodesmium multiseptatum	NOT_VERIFIED	fungi	"Leptosphaeria multiseptata / Entodesmium multiseptatum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Leptosphaeria variiseptata / Phaeosphaeria variiseptata	NOT_VERIFIED	fungi	"Leptosphaeria variiseptata / Phaeosphaeria variiseptata"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Leptosphaerulina australis	318710	fungi	"Leptosphaerulina australis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Macrophomina phaseolina	35725	fungi	"Macrophomina phaseolina"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	31	31
Marasmiellus inoderma	3021703	fungi	"Marasmiellus inoderma"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Marasmius graminum var. brevispora / Marasmius graminum	160937	fungi	"Marasmius graminum var. brevispora / Marasmius graminum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Marasmius sacchari var. hawaiiensis / Marasmius sacchar	2075139	fungi	"Marasmius sacchari var. hawaiiensis / Marasmius sacchar"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Microdochium bolleyi	196109	fungi	"Microdochium bolleyi"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Microdochium seminicola	1682390	fungi	"Microdochium seminicola"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Monographella maydis/Microdochium maydis	NOT_VERIFIED	fungi	"Monographella maydis/Microdochium maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Mucor circinelloides	36080	fungi	"Mucor circinelloides"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	14	14
Mycosarcoma maydis (Ustilago maydis)	5270	fungi	"Mycosarcoma maydis (Ustilago maydis)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Nigrospora oryzae (Khuskia oryzae)	335854	fungi	"Nigrospora oryzae (Khuskia oryzae)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Paraphaeosphaeria michotii / Sphaeria michotii	125373	fungi	"Paraphaeosphaeria michotii / Sphaeria michotii"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Penicillium chrysogenum	5076	fungi	"Penicillium chrysogenum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	21	21
Penicillium cyclopium	60167	fungi	"Penicillium cyclopium"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	8	8
Penicillium funiculosum / Talaromyces funiculosus	28572	fungi	"Penicillium funiculosum / Talaromyces funiculosus"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Penicillium oxalicum	69781	fungi	"Penicillium oxalicum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	40	40
Penicillium verrucosum	60171	fungi	"Penicillium verrucosum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	20	20
Phaeocytostroma ambiguum	935936	fungi	"Phaeocytostroma ambiguum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	2	2
Phaeosphaeria herpotricha / Ophiosphaerella herpotricha	33175	fungi	"Phaeosphaeria herpotricha / Ophiosphaerella herpotricha"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Phaeosphaeria maydis	NOT_VERIFIED	fungi	"Phaeosphaeria maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Phialophora radicicola / Gaeumannomyces radicicola	1577605	fungi	"Phialophora radicicola / Gaeumannomyces radicicola"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Phyllachora maydis	1825666	fungi	"Phyllachora maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	26	26
Physoderma maydis	276838	fungi	"Physoderma maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Physopella pallescens / Phakopsora pallescens	NOT_VERIFIED	fungi	"Physopella pallescens / Phakopsora pallescens"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Physopella zeae	NOT_VERIFIED	fungi	"Physopella zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Puccinia polysora	684837	fungi	"Puccinia polysora"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	51	51
Puccinia sorghi	27349	fungi	"Puccinia sorghi"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	54	54
Pyricularia oryzae (Magnaporthe oryzae)	318829	fungi	"Pyricularia oryzae (Magnaporthe oryzae)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Rhizoctonia solani (Thanatephorus cucumeris)	456999	fungi	"Rhizoctonia solani (Thanatephorus cucumeris)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Rhizopus arrhizus	64495	fungi	"Rhizopus arrhizus"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	10	10
Rhizopus stolonifer	4846	fungi	"Rhizopus stolonifer"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	10	10
Sarocladium strictum (Acremonium strictum)	5046	fungi	"Sarocladium strictum (Acremonium strictum)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Sarocladium zeae/Acremonium zeae	1036732	fungi	"Sarocladium zeae/Acremonium zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Septoria maydis	NOT_VERIFIED	fungi	"Septoria maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Septoria zeina/Septoria zeae	NOT_VERIFIED	fungi	"Septoria zeina/Septoria zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Setophoma terrestris (Phoma terrestris/Pyrenochaeta terrestris )	798162	fungi	"Setophoma terrestris (Phoma terrestris/Pyrenochaeta terrestris )"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Sporisorium reilianum (Sphacelotheca reiliana)	72558	fungi	"Sporisorium reilianum (Sphacelotheca reiliana)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Stenocarpella macrospora	371126	fungi	"Stenocarpella macrospora"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	7	7
Stenocarpella maydis (Diplodia maydis)	238245	fungi	"Stenocarpella maydis (Diplodia maydis)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Talaromyces radicus	228353	fungi	"Talaromyces radicus"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Trichoderma afroharzianum	1567482	fungi	"Trichoderma afroharzianum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	7	7
Trichoderma asperellum	101201	fungi	"Trichoderma asperellum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	34	34
Trichoderma hamatum	49224	fungi	"Trichoderma hamatum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Trichoderma harzianum	5544	fungi	"Trichoderma harzianum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	61	61
Trichoderma koningii	97093	fungi	"Trichoderma koningii"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	5	5
Trichoderma roseum /Trichothecium roseum	47278	fungi	"Trichoderma roseum /Trichothecium roseum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Trichoderma viride	5547	fungi	"Trichoderma viride"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	44	44
Ustilaginoidea virens	1159556	fungi	"Ustilaginoidea virens"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	4	4
Waitea zeae (Rhizoctonia zeae)	49569	fungi	"Waitea zeae (Rhizoctonia zeae)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Xepiculopsis graminea/Myrothecium gramineum	226117	fungi	"Xepiculopsis graminea/Myrothecium gramineum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Globisporangium irregulare (Pythium irregulare)	36331	oomycetes	"Globisporangium irregulare (Pythium irregulare)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Globisporangium rostratum (Pythium rostratum )	2711123	oomycetes	"Globisporangium rostratum (Pythium rostratum )"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Peronosclerospora heteropogonis	467162	oomycetes	"Peronosclerospora heteropogonis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Peronosclerospora maydis	886949	oomycetes	"Peronosclerospora maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Peronosclerospora miscanthi	1081076	oomycetes	"Peronosclerospora miscanthi"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Peronosclerospora philippinensis	886948	oomycetes	"Peronosclerospora philippinensis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Peronosclerospora sacchari	467161	oomycetes	"Peronosclerospora sacchari"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Peronosclerospora sorghi	230839	oomycetes	"Peronosclerospora sorghi"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	12	12
Peronosclerospora spontanea	NOT_VERIFIED	oomycetes	"Peronosclerospora spontanea"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pythium acanthicum	65069	oomycetes	"Pythium acanthicum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pythium adhaerens	289596	oomycetes	"Pythium adhaerens"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pythium angustatum	289598	oomycetes	"Pythium angustatum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pythium aphanidermatum	65070	oomycetes	"Pythium aphanidermatum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	13	13
Pythium aristosporum	140044	oomycetes	"Pythium aristosporum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	3	3
Pythium arrhenomanes	82932	oomycetes	"Pythium arrhenomanes"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	2	2
Pythium debaryanum /Globisporangium debaryanum	231958	oomycetes	"Pythium debaryanum /Globisporangium debaryanum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pythium graminicola	82937	oomycetes	"Pythium graminicola"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Pythium helicoides / Phytopythium helicoides	126844	oomycetes	"Pythium helicoides / Phytopythium helicoides"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pythium inflatum	82938	oomycetes	"Pythium inflatum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	4	4
Pythium lutarium	289618	oomycetes	"Pythium lutarium"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Pythium paroecandrum/ Globisporangium paroecandrum	2125995	oomycetes	"Pythium paroecandrum/ Globisporangium paroecandrum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pythium pulchrum / Globisporangium pulchrum	115420	oomycetes	"Pythium pulchrum / Globisporangium pulchrum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pythium schmitthenneri / Globisporangium schmitthenneri	1277646	oomycetes	"Pythium schmitthenneri / Globisporangium schmitthenneri"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pythium spinosum /Globisporangium spinosum	2125998	oomycetes	"Pythium spinosum /Globisporangium spinosum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pythium splendens/Globisporangium splendens	82926	oomycetes	"Pythium splendens/Globisporangium splendens"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pythium sylvaticum / Globisporangium sylvaticum	82950	oomycetes	"Pythium sylvaticum / Globisporangium sylvaticum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Pythium torulosum	4799	oomycetes	"Pythium torulosum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Pythium ultimum	2052682	oomycetes	"Pythium ultimum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	16	16
Pythium vexans/Phytopythium vexans	907947	oomycetes	"Pythium vexans/Phytopythium vexans"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Sclerophthora macrospora	467176	oomycetes	"Sclerophthora macrospora"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Sclerophthora rayssiae / Sclerophthora rayssiae var. zeae	NOT_VERIFIED	oomycetes	"Sclerophthora rayssiae / Sclerophthora rayssiae var. zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Sclerospora graminicola	162130	oomycetes	"Sclerospora graminicola"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
