file	type	title	authors	journal	year	doi	url
CNKI-20260826103915475.enw	Journal Article	中草药水浸提液对5种植物病原真菌的影响	蒋晶晶 彭沛穰 苏锋锋 周昭旭 杜蕙	安徽农业科学	2020		https://kns.cnki.net/kcms2/article/abstract?v=hH4QDuxDhLTrjnSX507yQb-jdps6nfGy1ZHpYkfGWJ8-Cf1D0dU2Qm1pNoL3tT0ifrD8ZS0OQ8k0RQXf_r_MFxhCt1erSo82kYUSMfQh6GmrsO1XpZqeYrfVU_PdqnR2HjYW9iDIIsbK1mqGapbKKPSa7Q9mVwT3dnjKJU5WLjYSZ4rOyL1C4m76ktcfHS-M&uniplatform=NZKPT&language=CHS
CNKI-20260826103915475.enw	Journal Article	玉米病毒病的发生与防治	刘忠刚	现代农村科技	2020		https://kns.cnki.net/kcms2/article/abstract?v=hH4QDuxDhLTfdzadh9daAg30mWdnZR5eomXyw1yt7WSUyuxsXECQtkUfYXZltXEH2a-ECGqAFhaKile8nFVMYOsUtnsFkRkY3HKeUAf22fh6dn-q-Y6EFLVS-sAM7HT_rba8tRZxvDcS8K4ylo8prgVlrV-rANIsajmrv9R1V0AnOacZjrW5oDy_zx9YyGH4&uniplatform=NZKPT&language=CHS
CNKI-20260826103915475.enw	Thesis	枯草芽孢杆菌HG-15菌体发酵全可溶培养基配方与条件优化	许睿娉		2020	10.27277/d.cnki.gsdnu.2020.000884	https://link.cnki.net/doi/10.27277/d.cnki.gsdnu.2020.000884
CNKI-20260826103915475.enw	Thesis	玉米响应大斑病菌侵染的多组学分析及重要侵染相关基因的挖掘	巩校东		2020	10.27109/d.cnki.ghbnu.2020.000059	https://link.cnki.net/doi/10.27109/d.cnki.ghbnu.2020.000059
CNKI-20260826103915475.enw	Thesis	甘蔗细菌性枯萎病原菌Pantoea stewartii subsp. stewartii的分离与鉴定	崔东		2020	10.27018/d.cnki.gfjnu.2020.000869	https://link.cnki.net/doi/10.27018/d.cnki.gfjnu.2020.000869
CNKI-20260826103915475.enw	Thesis	祁白术内生菌的分离、鉴定及其发酵产物的抑菌活性研究	吴锦菲		2020	10.26919/d.cnki.gannu.2020.000500	https://link.cnki.net/doi/10.26919/d.cnki.gannu.2020.000500
CNKI-20260826103915475.enw	Thesis	玉米炭疽病病原菌的鉴定与有效药剂筛选	陈贵华		2020	10.26919/d.cnki.gannu.2020.000501	https://link.cnki.net/doi/10.26919/d.cnki.gannu.2020.000501
CNKI-20260826103915475.enw	Journal Article	广州地区一株绿僵菌的鉴定及其对草地贪夜蛾的致病力测定	雷妍圆 王德森 薛志洪 吕利华 黄少华 章玉苹	南方农业学报	2020		https://kns.cnki.net/kcms2/article/abstract?v=hH4QDuxDhLRw_nB8OuUsET3PPuchrK-EApgdeeTiqOJ2HjBBbm0y5MmOinC5rmeFjvoX344_VcEf4sRWVamXwILyAyMDu4e2b5KgXZT_uV8tuondnRcibVqXdES_nM0CjyW7UibPcKJNusFT78GCmsa9j7bainERhR8EXsxQhwhVCz3pjbOaFUNydh-kHkXv&uniplatform=NZKPT&language=CHS
CNKI-20260826103915475.enw	Thesis	甘肃省玉米孢囊线虫种类鉴定、生物学特性及生防菌筛选研究	徐志鹏		2020	10.27025/d.cnki.ggsnu.2020.000317	https://link.cnki.net/doi/10.27025/d.cnki.ggsnu.2020.000317
CNKI-20260826103915475.enw	Thesis	玉米乳杆菌LB1对产肠毒素型大肠杆菌ETEC感染仔猪肠道功能的保护作用	史宇涛		2020	10.27776/d.cnki.gwhgy.2020.000134	https://link.cnki.net/doi/10.27776/d.cnki.gwhgy.2020.000134
CNKI-20260826103915475.enw	Thesis	玉米弯孢叶斑病菌过氧化氢酶基因功能研究	孙玉鑫		2020	10.27327/d.cnki.gshnu.2020.000185	https://link.cnki.net/doi/10.27327/d.cnki.gshnu.2020.000185
CNKI-20260826103915475.enw	Thesis	昆虫病原线虫的培养应用及非生物因子对其影响的研究	刘勇		2020	10.27730/d.cnki.ghngy.2020.000023	https://link.cnki.net/doi/10.27730/d.cnki.ghngy.2020.000023
CNKI-20260826103915475.enw	Thesis	鱼类诱食剂乙偶姻的发酵生产与应用研究	毛林静		2020	10.27277/d.cnki.gsdnu.2020.000248	https://link.cnki.net/doi/10.27277/d.cnki.gsdnu.2020.000248
CNKI-20260826103915475.enw	Thesis	玫烟色棒束孢IF-1106应用特性与制剂研究	刁红亮		2020	10.27285/d.cnki.gsxnu.2020.000021	https://link.cnki.net/doi/10.27285/d.cnki.gsxnu.2020.000021
